location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot,home/away,lat/lng,game_season,is_goal
-157.0,0.0,10.0,1.0,14.4,22.0,35.0,Left Side(L),Mid Range,8-16 ft.,shot - 45,shot - 3,MANU @ POR,"45.539131, -122.651648",2000-01,0.0
-101.0,135.0,49.82,1.0,0.0,54.3608,45.2,Left Side Center(LC),Mid Range,16-24 ft.,shot - 25,shot - 3,MANU @ SAC,"45.539131, -122.651648",2000-01,1.0
138.0,175.0,3.0,1.0,61.304,52.0,42.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ POR,"45.539131, -122.651648",2000-01,0.0
0.0,0.0,23.75208449795743,2.0,0.0,19.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU @ POR,"45.539131, -122.651648",2000-01,1.0
-145.0,-11.0,9.0,3.0,0.0,16.0,34.0,Left Side(L),Mid Range,8-16 ft.,shot - 17,shot - 3,MANU @ POR,"45.539131, -122.651648",2005-06,0.0
0.0,0.0,8.0,2.7601617308413218,0.0,82.1,54.7,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU @ POR,"45.539131, -122.651648",2000-01,1.0
-65.0,0.0,6.0,3.0,0.0,12.0,32.0,Left Side(L),Goal Line,8-16 ft.,shot - 36,shot - 3,MANU @ POR,"45.539131, -122.651648",2000-01,1.0
-33.0,0.0,3.0,3.0,0.0,44.1,26.0,Center(C),Goal Line,8-16 ft.,shot - 44,shot - 3,MANU @ POR,"45.539131, -122.651648",2000-01,0.0
121.0,127.0,11.0,1.0,53.304,32.3928,26.7,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,1.0
-67.0,0.0,7.0,39.18,0.0,4.5,26.0,Left Side(L),Goal Line,8-16 ft.,shot - 44,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2005-06,1.0
-94.0,4.0,3.4320844979574283,34.68,0.0,44.0,29.0,Left Side(L),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
-23.0,47.0,1.0,1.0,0.0,16.0,25.0,Center(C),Goal Line,Less Than 8 ft.,shot - 12,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
0.0,192.0,47.32,35.68,0.0,35.3928,40.0,Center(C),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
-117.0,226.0,23.32,2.0,0.0,50.0,32.5,Left Side Center(LC),Mid Range,Less Than 8 ft.,shot - 6,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,1.0
0.0,97.0,11.0,3.0,0.0,29.0,71.2,Left Side Center(LC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
3.0,144.0,10.0,3.0,0.0,8.0,34.0,Center(C),Mid Range,8-16 ft.,shot - 20,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
-16.0,110.0,7.0,3.0,0.0,57.0,31.0,Center(C),Goal Line,8-16 ft.,shot - 44,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,1.0
-109.0,150.0,5.0,3.0,0.0,47.0,38.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2005-06,1.0
-46.0,63.0,5.0,3.0,0.0,18.1,27.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,47.82,3.0,0.0,36.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
0.0,196.0,2.0,43.18,0.0,33.8928,40.0,Center(C),Mid Range,16-24 ft.,shot - 30,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
-183.0,186.0,0.0,3.0,0.0,30.0,49.7,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 54,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
85.0,173.0,8.0,4.0,30.964,9.5,28.7,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
3.0,87.0,39.82,4.0,0.0,22.0,28.0,Center(C),Goal Line,8-16 ft.,shot - 42,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,0.0
121.0,4.0,1.0,4.0,0.0,43.1,26.0,Right Side(R),Mid Range,8-16 ft.,shot - 44,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2000-01,1.0
127.0,34.0,0.0,4.0,0.0,30.0,35.7,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. UTA,"42.982923, -71.446094",2005-06,0.0
91.0,184.0,3.0,2.0,0.0,30.0,40.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,1.0
-27.0,272.0,37.82,2.0,0.0,4.0,47.0,Center(C),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,1.0
-176.0,66.0,11.0,34.68,18.464,12.0,47.7,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,0.0
7.0,4.0,23.32,3.0,0.0,13.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU @ VAN,"42.982923, -71.446094",2000-01,1.0
150.0,133.0,54.82,3.0,0.0,59.0,40.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,1.0
49.0,15.0,8.0,3.0,0.0,29.0,25.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2005-06,0.0
-4.0,4.0,21.82,33.18,0.0,10.5,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,1.0
-4.0,0.0,2.0,3.0,0.0,55.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU @ VAN,"49.250068, -123.114646",2005-06,0.0
1.0,9.0,2.0,3.0,44.30399999999999,19.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 12,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,1.0
121.0,120.0,4.0,36.68,0.0,55.0,37.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"49.250068, -123.114646",2000-01,1.0
1.0,9.0,1.0,21.68,0.0,8.0,62.2,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU @ SAC,"49.250068, -123.114646",2000-01,0.0
-12.0,9.0,1.0,4.0,0.0,28.8928,21.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU @ VAN,"49.250068, -123.114646",2000-01,0.0
24.0,70.0,10.0,59.68,30.4,33.0,27.0,Center(C),Goal Line,Less Than 8 ft.,shot - 25,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2000-01,0.0
-189.0,-4.0,10.0,1.0,0.0,4.0,38.0,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2005-06,0.0
-155.0,194.0,2.0,39.68,0.0,27.1,44.0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2000-01,0.0
