match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min.1,power_of_shot.1,knockout_match.1,remaining_sec.1,distance_of_shot.1
12.0,-157.0,0.0,10.0,1.0,0.0,2000-01,22.0,35.0,0.0,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-10-31,MANU @ POR,2.0,"45.539131, -122.651648",shot - 45,,20000012,1610612747,10.0,1.0,28.8,22.0,35.0
35.0,-101.0,135.0,7.0,1.0,0.0,2000-01,45.0,36.0,1.0,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-10-31,,3.0,"45.539131, -122.651648",shot - 25,,20000012,1610612747,92.64,1.0,0.0,63.7216,54.4
43.0,138.0,175.0,6.0,1.0,0.0,2000-01,52.0,42.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-10-31,MANU @ POR,4.0,"45.539131, -122.651648",,shot - 3,20000012,1610612747,,1.0,122.60799999999999,52.0,42.0
155.0,0.0,0.0,,2.0,0.0,2000-01,19.0,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,,2000-10-31,MANU @ POR,5.0,"45.539131, -122.651648",,shot - 1,20000012,1610612747,42.64,2.0,0.0,19.0,20.0
244.0,-145.0,-11.0,9.0,3.0,0.0,,32.0,34.0,0.0,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-10-31,MANU @ POR,6.0,"45.539131, -122.651648",shot - 17,,20000012,1610612747,9.0,3.0,0.0,,34.0
251.0,0.0,0.0,8.0,,0.0,2000-01,52.0,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-10-31,MANU @ POR,7.0,"45.539131, -122.651648",,shot - 4,20000012,1610612747,8.0,3.0,0.0,112.2,89.4
265.0,-65.0,,6.0,3.0,0.0,2000-01,12.0,32.0,1.0,Left Side(L),Goal Line,8-16 ft.,Manchester United,2000-10-31,MANU @ POR,9.0,"45.539131, -122.651648",shot - 36,,20000012,1610612747,6.0,3.0,0.0,12.0,32.0
294.0,-33.0,,3.0,3.0,0.0,2000-01,36.0,32.0,0.0,Center(C),Goal Line,8-16 ft.,Manchester United,2000-10-31,MANU @ POR,10.0,"45.539131, -122.651648",shot - 44,,20000012,1610612747,3.0,3.0,0.0,52.2,
4.0,121.0,127.0,11.0,1.0,0.0,2000-01,0.0,37.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,12.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,11.0,1.0,106.60799999999999,64.7856,16.4
27.0,-67.0,,7.0,1.0,0.0,,,,1.0,Left Side(L),Goal Line,8-16 ft.,Manchester United,2000-11-01,MANU vs. UTA,13.0,"42.982923, -71.446094",shot - 44,,20000019,1610612747,7.0,77.36,0.0,9.0,32.0
66.0,-94.0,4.0,,1.0,0.0,2000-01,44.0,29.0,0.0,Left Side(L),Mid Range,8-16 ft.,Manchester United,2000-11-01,MANU vs. UTA,14.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,2.0,68.36,0.0,44.0,29.0
80.0,-23.0,47.0,1.0,1.0,0.0,2000-01,16.0,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-01,MANU vs. UTA,15.0,"42.982923, -71.446094",shot - 12,,20000019,1610612747,1.0,1.0,0.0,16.0,25.0
86.0,,192.0,0.0,1.0,0.0,2000-01,,40.0,0.0,Center(C),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,16.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,94.64,70.36,0.0,70.7856,40.0
138.0,-117.0,226.0,8.0,2.0,0.0,2000-01,50.0,45.0,1.0,Left Side Center(LC),,,Manchester United,2000-11-01,MANU vs. UTA,18.0,"42.982923, -71.446094",shot - 6,,20000019,1610612747,38.64,2.0,0.0,50.0,
244.0,,97.0,11.0,3.0,0.0,2000-01,29.0,36.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,19.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,11.0,3.0,0.0,29.0,106.4
255.0,3.0,144.0,10.0,3.0,0.0,2000-01,8.0,34.0,0.0,Center(C),Mid Range,8-16 ft.,Manchester United,2000-11-01,MANU vs. UTA,21.0,"42.982923, -71.446094",shot - 20,,20000019,1610612747,10.0,3.0,0.0,8.0,34.0
274.0,-16.0,110.0,7.0,3.0,0.0,2000-01,57.0,31.0,1.0,Center(C),Goal Line,8-16 ft.,Manchester United,2000-11-01,MANU vs. UTA,23.0,"42.982923, -71.446094",shot - 44,,20000019,1610612747,7.0,3.0,0.0,57.0,31.0
299.0,-109.0,150.0,5.0,3.0,0.0,,47.0,38.0,1.0,Left Side Center(LC),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,24.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,5.0,3.0,0.0,47.0,38.0
307.0,-46.0,63.0,5.0,3.0,0.0,2000-01,11.0,27.0,1.0,Center(C),Goal Line,Less Than 8 ft.,Manchester United,2000-11-01,MANU vs. UTA,25.0,"42.982923, -71.446094",,shot - 3,20000019,1610612747,5.0,3.0,0.0,25.2,27.0
332.0,0.0,0.0,2.0,3.0,0.0,2000-01,36.0,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-01,MANU vs. UTA,26.0,"42.982923, -71.446094",,shot - 4,20000019,1610612747,93.64,3.0,0.0,36.0,20.0
345.0,,196.0,2.0,3.0,0.0,2000-01,4.0,40.0,0.0,Center(C),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,27.0,"42.982923, -71.446094",shot - 30,,20000019,1610612747,2.0,83.36,0.0,63.7856,40.0
